20kHz (5-5-5-5)
499.36,1159.78,955.44,725.92,366.91,478.82,560.61,657.44,542.41,378.33,286.05,604.53,793.98,943.12,529.68,511.15,1058.28,1712.24,1089.37,464.85,413.81,874.03,978.37,530.77,299.52,457.12,739.85,639.64,576.51,506.57,376.79,534.36,879.90,1043.28,455.35,374.25,894.84,1491.79,894.60,448.77,
496.53,1179.61,912.70,690.67,364.68,468.77,536.99,651.61,532.98,380.01,290.56,624.26,841.22,865.88,531.39,492.13,1012.28,1690.92,1083.69,464.93,417.44,971.85,988.28,563.36,291.25,437.59,703.85,622.65,576.61,500.94,370.88,553.92,854.15,1053.59,445.75,379.23,927.98,1628.91,833.91,448.05,
490.22,1227.84,878.93,738.95,363.52,458.32,545.70,632.71,567.95,366.60,289.28,612.91,814.21,930.27,527.25,492.13,930.27,1559.64,1080.95,438.60,428.66,942.34,906.63,539.35,294.34,445.20,699.45,609.24,565.08,481.86,368.45,538.92,835.05,1029.65,443.89,365.46,924.12,1691.64,903.42,467.17,
498.80,1294.62,904.33,694.96,372.03,452.74,559.50,649.86,544.23,367.30,289.15,582.20,828.60,923.69,518.12,506.62,1072.60,1744.73,1055.72,444.76,433.34,911.05,992.24,532.25,292.90,459.04,702.20,629.70,556.75,486.76,369.92,537.97,788.45,1130.77,427.38,364.47,840.95,1682.43,902.12,457.43,
474.32,1172.89,974.89,729.56,375.18,460.68,548.43,640.13,578.16,381.99,289.06,590.28,843.07,983.38,522.97,517.14,997.76,1657.93,1192.07,446.54,425.50,950.46,1000.01,563.36,298.56,440.45,683.84,624.26,563.71,502.37,381.56,544.68,866.68,1101.85,432.77,376.65,880.84,1610.32,890.75,453.31,
un buco
600.61,440.27,421.33,843.42,444.06,205.94,223.24,652.53,742.61,497.26,91.84,313.10,602.74,806.76,607.47,154.28,321.63,467.59,424.80,208.01,298.00,476.14,434.49,207.80,92.20,627.44,873.93,654.23,318.67,158.14,487.00,743.20,588.54,328.01,302.49,460.73,856.49,474.99,459.29,597.95,
612.74,439.87,440.08,840.95,445.75,212.74,222.61,649.28,807.74,494.51,92.33,313.55,612.27,793.98,602.33,154.59,331.07,493.30,428.11,209.67,303.55,461.14,432.69,210.42,92.01,608.07,937.76,634.43,316.28,158.32,491.28,793.78,588.71,317.36,298.00,486.19,781.30,490.40,464.56,641.67,
572.25,428.97,441.86,905.57,443.18,208.02,219.79,689.61,737.98,486.28,91.92,311.39,612.27,831.30,605.93,154.47,323.93,491.23,427.87,210.02,296.92,475.68,425.00,208.01,91.69,596.70,934.34,629.01,316.31,156.19,464.93,809.82,626.33,316.82,296.92,477.60,775.75,473.46,480.92,643.96,
596.70,447.57,418.67,898.35,460.98,212.31,221.73,656.13,745.08,510.00,91.44,317.33,604.09,793.98,617.58,153.51,325.85,495.49,415.04,204.70,295.76,479.36,415.87,207.46,91.53,588.06,873.93,655.39,307.17,158.70,473.41,749.16,626.33,328.09,298.81,481.59,845.55,489.57,474.66,641.08,
